html,straat,plaats,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
appartement-1898753.html,Posthuisstraat,in Tegelen,Totaal 9 kamers (4 slaapkamers) ,€ 1110,p/m | excl. g/w/e,Kaal,17-01-2021 tot 07-01-2023,27 weken geleden geplaatst,https://kamernet.nl/huren/appartement-tegelen/posthuisstraat/appartement-1898753,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Nee ', 'Energielabel': ' G ', 'Huisdieren': ' Nee '}"
kamer-1899434.html,Badhuiskade,in Amsterdam,,€ 628,p/m | incl. g/w/e,Gemeubileerd,18-04-2021 tot 31-08-2021,26 weken geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/badhuiskade/kamer-1899434,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Onbekend  ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1974319.html,Brusselseweg,in Maastricht,Totale oppervlakte: 30 m 2,€ 295,p/m | incl. g/w/e,Kaal,01-09-21,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-maastricht/brusselseweg/kamer-1974319,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1960431.html,Gooise Kant,in Amsterdam,,€ 800,p/m | incl. g/w/e,Gemeubileerd,01-05-21,4 weken geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/gooise-kant/kamer-1960431,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' A ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
studio-1963399.html,Dr Schaepmanstraat,in Vaals,,€ 420,p/m | excl. g/w/e,Gemeubileerd,30-06-21,3 weken geleden geplaatst,https://kamernet.nl/huren/studio-vaals/dr-schaepmanstraat/studio-1963399,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
appartement-1893043.html,Korte Leidsedwarsstraat,in Amsterdam,Totaal 2 kamers (2 slaapkamers) ,€ 1750,p/m | excl. g/w/e,Gemeubileerd,01-01-21,28 weken geleden geplaatst,https://kamernet.nl/huren/appartement-amsterdam/korte-leidsedwarsstraat/appartement-1893043,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' In overleg '}"
kamer-1947412.html,Geertjesweg,in Wageningen,,€ 200,p/m | incl. g/w/e,Gestoffeerd,30-08-21,8 weken geleden geplaatst,https://kamernet.nl/huren/kamer-wageningen/geertjesweg/kamer-1947412,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Meer dan 8 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
kamer-1750244.html,Grimbergenstraat,in Amsterdam,Totale oppervlakte: 80 m 2,€ 600,p/m | incl. g/w/e,Gemeubileerd,11-07-21,1 week geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/grimbergenstraat/kamer-1750244,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  4  ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1971101.html,Joris Ivenslaan,in Almere,,€ 450,p/m | incl. g/w/e,Gemeubileerd,09-07-21,1 week geleden geplaatst,https://kamernet.nl/huren/kamer-almere/joris-ivenslaan/kamer-1971101,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' C ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1970978.html,Standerdmolen,in Amsterdam,,€ 750,p/m | incl. g/w/e,Gestoffeerd,01-10-21,1 week geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/standerdmolen/kamer-1970978,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
studio-1973713.html,Tandwielstraat,in Rotterdam,Totaal 1 kamer (1 slaapkamer) ,€ 709,p/m | excl. g/w/e,Gemeubileerd,16-07-21,6 dagen geleden geplaatst,https://kamernet.nl/huren/studio-rotterdam/tandwielstraat/studio-1973713,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1974929.html,Stadhuispromenade,in Almere,,€ 500,p/m | incl. g/w/e,Gestoffeerd,01-10-21,Gisteren geplaatst,https://kamernet.nl/huren/kamer-almere/stadhuispromenade/kamer-1974929,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' B ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
